userId,movieId,rating,timestamp
121959,764,0.8,1256076396
131933,23926,3.2,1373298383
103695,26550,4.5,1145420094
119880,17200,2.1,1103891699
110269,6256,3.4,1169043219
54887,17262,1.5,1333742576
137338,7174,3.0,1212153092
87499,23458,4.0,1253639976
112728,21183,4.4,1269109621
126325,23374,1.0,1205262879
16024,21424,2.1,1033485082
41091,10519,3.4,1197112643
67222,10253,0.7,1216128360
64821,26156,3.6,1261395887
770,12448,2.9,1226299398
59736,15090,1.8,1254554797
64926,22709,4.2,1196297165
5312,9396,1.8,1391615334
103356,12068,5.0,1074628055
85306,19208,4.2,1461824367
130609,5288,3.7,1065038993
84479,19670,0.8,1330280187
122538,13462,4.6,1402800805
130524,26640,4.1,1327282278
2748,13403,1.5,1081588210
123856,26556,2.3,1259550183
65726,7434,1.7,1199984832
129982,22559,4.9,1357129744
84655,11285,4.3,1304222809
119347,4827,4.7,1385105266
67436,3665,4.0,1475164245
56887,10529,2.6,1064924774
66804,498,1.4,1484473425
31552,7642,1.4,1220940413
116217,4644,1.2,1034406437
11395,5057,3.0,1108056923
69093,132,4.6,1154694868
3891,5444,5.0,1431949797
41607,17242,1.8,1351050464
87314,13444,3.6,1088466141
8793,8713,3.2,1093884841
68149,8222,2.7,1176354550
124244,15661,3.5,1471999111
120175,6148,2.2,1239171869
124359,11589,4.8,1263916774
48556,4605,3.7,1243933503
17160,9453,3.9,1401691135
110511,17943,1.6,1344587784
106531,16400,1.3,1077961440
80078,3606,2.3,1044935673
35921,13285,4.0,1069201002
19458,1608,4.7,1019867322
78954,22320,2.4,1089269980
52996,11710,4.0,1380153438
9693,2017,2.6,1456879810
37066,3575,1.8,1454694641
99300,13542,3.8,1034807114
11535,7275,4.1,1477453316
40398,9936,1.4,1436698974
91388,15749,1.9,1124807635
1017,20176,2.7,1354227715
55592,6407,1.3,1252366599
23248,11827,4.7,1249291689
24301,17473,3.2,1066880252
82799,1362,1.0,1237394082
9269,4474,1.3,1378815116
86808,21679,4.8,1051687408
12186,23491,3.8,1187095940
38045,7320,3.8,1000965415
51215,8668,0.8,1371371538
114753,9482,4.5,1083634257
48985,8521,2.5,1077623776
40775,26416,3.5,1045698940
2569,17571,4.8,1490033667
120152,19799,1.0,1280286847
133768,21871,2.7,1061694138
124376,3537,0.7,1128319633
136331,1774,2.7,1025760749
39505,10256,1.6,1373428375
13987,26421,4.6,1246359402
61859,21800,2.3,1132452444
129313,2559,3.4,1426212382
12667,22292,4.4,1367720249
38661,5080,4.9,1110537243
134634,25839,2.8,1043911816
26855,23109,2.6,1191820377
64506,21805,0.8,1077307952
104489,14342,0.6,1040351598
22663,19676,3.2,1001461505
8393,25595,0.8,1227061253
30536,9982,2.2,1128100892
113570,3525,0.5,1008834457
52257,19889,3.3,1110983323
89136,8999,2.4,1476275462
127479,22374,1.1,1233181729
35223,13698,1.8,1102045111
77374,19051,3.1,1343901420
123685,13607,3.5,1075874953
10966,13430,2.6,1028192111
24539,24981,4.1,1475433960
108067,16040,1.0,1446171111
113253,7141,0.9,1202794040
98807,8786,0.7,1095375534
137983,14902,2.9,1307713237
110990,23280,3.7,1215517210
90983,20492,1.1,1317685542
121627,3281,3.4,1200333205
119177,2213,2.6,1490075254
131279,15214,4.9,1448508050
122410,8079,3.7,1491041635
23420,26119,3.5,1128978322
50016,23986,3.1,1269609217
122097,15937,5.0,1319240027
107060,16998,4.9,1210373820
110688,14275,2.9,1294579002
87940,869,2.5,1489542374
105879,17196,2.6,1297713621
62624,26399,2.4,1214963698
75451,16043,2.9,1342536901
93427,15408,1.7,1420211950
117846,21247,4.7,1010650950
43586,20562,2.7,1141793184
109226,16255,4.3,1073719547
64045,1745,2.6,1298000333
109557,2257,3.7,1027422400
2694,23997,2.0,1353302085
95260,11860,3.3,1473717915
25940,25098,2.7,1419583633
18048,23581,2.2,1444532542
26106,5424,4.5,1071715034
75767,5090,1.0,1122962480
44263,6609,2.7,1470556026
125118,9718,1.4,1367580027
23777,17854,4.4,1288472257
128377,19060,1.6,1324279335
137849,17898,3.4,1383349332
92788,4877,1.2,1090904918
127949,17836,2.3,1174356982
55017,21039,4.5,1465465793
